keywords,labels,weight,distance,range,Notes?,,
tables tabling tabled && bid,takeover-offenses,-100,25,4,,,
takeover,takeover-offenses,-80,3,2,,,
takes taking && over,takeover-offenses,-80,3,2,,,
takeover acquisition bid bidding bids && strategy strategies,takeover-offenses,-40,25,3,,,
targeted && repurchase,takeover-offenses,-170,25,6,,,
al && qaeda,terrorism,-80,25,6,,,
bin && laden,terrorism,-10,25,6,,,
boko && haram,terrorism,-100,25,6,,,
breach breaches breaching breached break breaks breaking broke ignore ignored ignoring flout flouts flouting && terror terrorist terrorism,terrorism,-190,25,5,,,
farc,terrorism,-10,25,6,,,
finance financing financed financially funding fund funds funded backing bankrolling laundering && terrorism terrorists terrorist terror jihad jihadi jihadis jihadist jihadists insurgent insurgents extremist extremists extremism militant militants fundamentalist fundamentalists bomber bombers bombings militia militias militancy radicalism radicalized radicalization supremacists paramilitary sectarian,terrorism,-190,25,6,,,
hezbollah hizbollah hizbullah hizballah,terrorism,-100,25,6,,,
isis isle && attack war conflict insurgents military wars soldier raid victim wounded dead death aggression,terrorism,-100,25,6,,,
islamic && state,terrorism,-100,25,6,,,
russia russian putin && taliban,terrorism,-100,20,12,,,
suicide && bomber attack attacks,terrorism,-100,25,6,,,
talbian isis,terrorism,-150,20,12,,,
taliban,terrorism,-30,25,6,,,
terror && group groups attack attacks organisation organization organisations organizations strike,terrorism,-100,25,6,,,
terror terrorist terrorism narcoterrorism bioterrorism cyberterrorism ecoterrorism terrorists,terrorism,-110,25,6,,,
terror terrorist terrorism narcoterrorism bioterrorism ecoterrorism terrorists,terrorism,-110,25,6,,,
trump america us && taliban,terrorism,-150,20,10,,,
import imports exports export && tax taxes taxed duties duty tariff tariffs,trade-barriers,-130,25,2,,,
import product && quotas quota licenses license deposit deposits,trade-barriers,-100,25,5,,,
imports import && bans ban banned blocked blocks,"trade-barriers
 
 sanctions-economic",-120,25,5,,,
imports import customs && control permit,"trade-barriers
 
 sanctions-economic",-40,25,4,,,
financial political && barrier barriers restriction restrictions prohibitions && trading trade,"trade-barriers
 
 trade-policy",-150,20,15,,,
impact && on && trade && of,"trade-barriers
 
 trade-policy",-50,15,2,,,
issue issues && trade && talk talks,"trade-barriers
 
 trade-policy",-100,25,2,,,
ministry && of && industry && trade && demanded demands restricted restricts warns warned urges urged bans banned forbids forbidden,"trade-barriers
 
 trade-policy",-80,25,3,,,
nontariff trade && measures barriers barrier,"trade-barriers
 
 trade-policy",-50,25,2,,,
political && barrier barriers restriction restrictions prohibitions && trading trade,"trade-barriers
 
 trade-policy",-70,20,3,,,
wto && rate,"trade-barriers
 
 trade-policy",-40,25,5,,,
ata && carnet convention,trade-policy,-50,20,3,,,
battle && trade,trade-policy,-150,15,3,,,
buy && national && regulation regulations,trade-policy,-70,20,3,,,
customs && transit transition,trade-policy,-60,25,5,,,
duties && taxes,trade-policy,-50,20,4,,,
duty && quota quotas,trade-policy,-75,25,3,,,
financial && tariff tariffs,trade-policy,-70,25,5,,,
financial political && tariff tariffs,trade-policy,-70,20,4,,,
gatt,trade-policy,-50,25,2,,,
general && tariffs && trade,trade-policy,-50,25,2,,,
preferential && duty,trade-policy,-40,25,5,,,
rules && of && origin,trade-policy,-40,20,3,,,
stringent && rules && trade cost import export,trade-policy,-120,25,3,,,
surcharges surtaxes && imported && good goods,trade-policy,-40,20,3,,,
taric,trade-policy,-20,25,2,,,
tariff tariffs,trade-policy,-70,15,6,,,
tariff tariffs && headwind headwinds pressure pressures pressuring war wars resistance problem problematic problems difficulty difficulties trouble troubles concerns exacerbated severe worsening worrying suffer suffers suffering plague plagues plaguing plagued struggle struggles struggling debilitating debilitates debilitate fear fears fearing,trade-policy,-130,25,6,,,
tariff tariffs && war wars,trade-policy,-190,28,8,,,
trade && act acts,trade-policy,-50,25,2,,,
trade && agreement && abuse abused abuses abusing antitrust bad conflict conflicts decline declined declines declining decrease decreased decreases decreasing denied denies deny denying disappointed disappointing disregard disregarded disregarding disregards flagrant flagrantly ignore ignored ignores ignoring low lower lowering negative negatively negativity neglect neglecting neglects reduce reduced reducing reject rejected rejecting rejects slow tension unethical violate violated violates violating worse worsened worsening worsens,trade-policy,-130,20,8,,,
trade && agreement agreements,trade-policy,0,20,4,,,
trade && defend defends defense protection protect protected,trade-policy,-30,25,5,,,
trade && liberatisation liberalization,trade-policy,-70,20,3,,,
trade && policy policies && reform reforms changes change,trade-policy,-70,20,3,,,
trade protectionist && policy,trade-policy,-20,25,4,,,
world && trade && organization && rules restricted restrictions provisions provision,trade-policy,-70,15,4,,,
export && subsidies subsidy,"trade-policy
 
 sanctions-economic",-120,25,3,,,
restrictions restriction && imports import,"trade-policy
 
 sanctions-economic",-120,25,8,,,
arms && export && control && act,"trade-policy
 
 sanctions-military",-70,15,1,,,
security && risk risks,cyber-vulnerability,-130,25,6,,,
customer data database databases document documents records && security && cracked misclassified misclassify misrepresentation misrepresented misrepresenting misunderstood risk risks risky,unintentional-data-breach,-140,15,7,,,
data database databases document documents records && losing lost lose,unintentional-data-breach,-80,15,8,,,
data database databases information && scandal scandals scandalous risk risks risky,unintentional-data-breach,-90,10,8,,,
data database databases information privacy && allegation allegations announcement criticism fiens fine fined lawsuit notice notification proceeding proceedings settlement suit warning && breach breached breaches breaching cyberattack cyberattacks hack hacked hacker hackers hacking hacks issues leak leaked leaking leaks,unintentional-data-breach,-130,15,8,,,
ransomware && attack attacks attacked,unintentional-data-breach,-130,15,8,,,
data database information && breach breaches breached leak leaked leakage disclosure disclose,unintentional-data-breach,-150,20,5,,,
datalek datalekken datalekregisters datalekregister datal ddatenleck,unintentional-data-breach,-130,25,10,,,
identity identities data customer information info && on && the && street,unintentional-data-breach,-100,25,8,,,
password passwords && leakage leaking leaks leaked,unintentional-data-breach,-80,20,7,,,
personal && data && leak leakage,unintentional-data-breach,-150,30,7,,,
phi pii && leak breach,unintentional-data-breach,-150,30,3,,,
reveals revealed login && data details && employee employees customer customers,unintentional-data-breach,-100,25,5,,,
unintentional && data && breach,unintentional-data-breach,-90,10,5,,,
identity identities data customer information info && on && the && street,unintentional-data-breach,-100,25,8,,,
exposing exposes exposed && internal sensitive personal hack hacked leak leaked && data files document documents information tapes tape file report reports,"unintentional-data-breach
 
 cyber-attack-loss-of-confidentiality",-140,25,5,,,
doing && well better && except,wave-of-worsening,-100,18,3,,,
doubt doubts && outlook outlooks forecast forecasts future,wave-of-worsening,-130,25,6,,,
dreams future outlook hope hopes salvation faith progress promise && smash smashing smashes smashed shatter shatters shattering shattered rip rips ripping ripped wreck wrecks wrecking ruin ruins ruining ruined shambles havok thrash thrashing thrashes thrashed destroy destroys destroying blow blows blowing tore torn,wave-of-worsening,-190,15,5,,,
fall falls falling && cliff,wave-of-worsening,-130,30,3,,,
goin going && down under,wave-of-worsening,-250,2,6,,,
headed heading head heads && for && trouble troublesome disaster emergency losses loss losing bleak catastrophe catastrophic crisis devastating failure meltdown devastation severe,wave-of-worsening,-180,25,6,,,
in && retreat,wave-of-worsening,-200,15,2,,,
is && this && the && end,wave-of-worsening,-200,25,6,,,
lose loses losing && young youth teen teens teenager generation,wave-of-worsening,-200,10,4,,,
lost lose loses gone && mojo mojos,wave-of-worsening,-130,25,8,,,
missed && opportunity,wave-of-worsening,-60,15,4,,,
negative && outlook outlooks forecast forecasts future perspective perspectives,wave-of-worsening,-130,25,4,,,
new face faces facing increasing increases looming horizon expects expecting expected foresee foresees foreseeing predict predicts predicting imminent closer closest again another next lead leads leading more further stoking stoke stokes && crisis crises bubble bubbles deadlock reform unrest turmoil bailout showdown hurdle hurdles brunt axe axing fear fears uncertainty uncertainties,wave-of-worsening,-180,25,6,,,
new next && victim,wave-of-worsening,-200,2,8,,,
nothing && lasts && forever,wave-of-worsening,-200,25,5,,,
rise && fall,wave-of-worsening,-150,15,2,,,
shaky clouded clouding cloud grim dire bad worse worst bleak dismal negative terrible awful dreadful horrible miserable depressing horrendous gloomy unfortunate horrid disappointing horrific frightening troubling disturbing terrifying disheartening scary disastrous && outlook outlooks forecast forecasts future prospects,wave-of-worsening,-130,25,6,,,
staring && barrel,wave-of-worsening,-200,10,6,,,
time && is && running && out thin,wave-of-worsening,-190,15,5,,,
times && slowdown,wave-of-worsening,-60,15,10,,,
up && in && smoke,wave-of-worsening,-150,15,5,,,
worse worsened negative grim dire bad worse worst bleak dark dismal miserable ominous weak gloomy lowers lower lowering lowered poor threatening threat dreadful unacceptable alarming distressing disturbing frightening frightful startling daunting disheartening troublesome troubled warn warns warning warnings warned && outlook outlooks forecast forecasts future futures prospect prospects market,wave-of-worsening,-180,25,6,,,
never && recover recovers recovered,wave-of-worsening,-170,12,2,,,
despite && red && flags,wave-of-worsening,-100,13,2,,,
risks && ahead,wave-of-worsening,-75,30,2,,,
downtimes,wave-of-worsening,-50,5,2,,,
completely largely && destroyed destroy,wave-of-worsening,-150,3,7,,,
destabilizing destabilized destabilize destabilization,wave-of-worsening,-50,5,2,,,
slump slumps slumping slumped,wave-of-worsening,-50,5,2,,,
collapsing collapses collapsed collapse,wave-of-worsening,-50,3,2,,,
bottom drop drops dropped dropping fall falls falling fell tumble tumbles tumbling tumbled && poll list ranking rankings,wave-of-worsening,-90,25,4,,,
steps stepping step && down,strategy-changes,-180,12,2,,,
discovered uncovered discovers uncovers && missteps deficiency deficiencies shortcoming shortcomings flaw flaws fault faults faulting mar marred marring defect defects problems inadequate inadequacy inadequacies lacuna lacunas shortfall shortfalls omission omissions neglect neglected neglecting negligence cruelty misdeed misdeeds maltreatment maltreatments malnourished malnourishing underfed underfeeding disregard disregarding disregarded subversion subverting indifference indifferent malpractice thoughtlessness break trouble,wave-of-worsening,-130,25,4,,,
never && thrive success successful profitable good && again,wave-of-worsening,-130,13,4,,,
stuck && era age stoneage,wave-of-worsening,-130,20,4,,,
negative && year growth,wave-of-worsening,-100,30,4,,,
not && going && well,wave-of-worsening,-90,25,5,,,
fresh again growing increasing increasingly compliance && assault attack worries instability clouds problem problems challenge challenges issues,wave-of-worsening,-70,25,6,,,
faces disclose discloses disclosing disclosed && difficult challenging problematic problem problems turmoil issues downwards upwards market challenges issue assault attack attacks enigma enigmatic uncertain unstable instable,wave-of-worsening,-130,25,6,,,
has is to && struggle struggling struggles,wave-of-worsening,-70,25,6,,,
bad && situation situations light position,wave-of-worsening,-70,25,6,,,
bad tough rough tight && patch situation press vibe karma aura spot && hit hits hitting continue continues continuing longer worsen worsens worsening worsened increases increasingly new deepen deepens deepening dramatically exacerbates exacerbated exacerbating intensifies intensifying intensified ongoing progressively escalate escalates escalating,wave-of-worsening,-130,25,6,,,
negative && growth,wave-of-worsening,-70,25,6,,,
shock shocks shocked && industry competition peers investor investors shareholders stakeholder stakeholders customer customers client clients market markets branch branche branches world holidaymakers,wave-of-worsening,-100,25,6,,,
worst && to has will && come,wave-of-worsening,-130,25,6,,,
due caused because hit && to by of && wildfire wildfires firestorm firestorms bushfires,wildfires,-70,25,20,,,
fires fire inferno && at in a,wildfires,-180,8,2,,,
wildfire wildfire firestorm firestorms && nature environment forest building grounds,wildfires,-50,23,20,,,
huge large raging devastating && fire,wildfires,-130,25,4,,,
employees factory factories mine mines miner miners workers && strike,worker-protests,-160,25,8,,,
labor labour union unions wage wages workers employees staff && protest protesting protests strike,worker-protests,-160,25,8,,,
on && strike,worker-protests,-160,25,8,,,
picket picketed picketing,worker-protests,-50,5,2,,,
preavis && greve,worker-protests,-70,25,6,,,
staged stage stages && sit && in,worker-protests,-160,18,8,,,
labor labour union unions wage wages workers employees staff && reject dispute disputes disputing coerces coercion coerced coercing cheats cheating cheated betrogen,workplace-negotiations,-160,25,8,,,
labor labour union unions wage wages workers workforce laborers labourers workmen employees && coerces coercion coerced coercing,workplace-negotiations,-250,25,8,,,
persuades && its && workers,workplace-negotiations,-160,25,3,,,
labor labour union unions wage wages workers warns warned warning imminent will tomorrow next start starts starting commence commences commencing announce announces announcing announced && dispute disputes disputing problem problems problematic,"workplace-negotiations
 
 worker-protests",-160,25,6,,,
dissident && shareholders investor investors shareholders && expands expand expanded,shareholder-activism,-75,10,4,,,
aktivistische aktivistischen && aktionÃ¤rin investoren,shareholder-activism,-75,30,5,,,
shareholder shareholders && activism activist activists,shareholder-activism,-75,30,5,,,
shareholder shareholders && invest investing invests investing invests invest investment investments,shareholder-activism,-75,8,2,,,
shareholder shareholders investor investors cofounder founder && take takes taking && over,shareholder-activism,-75,30,6,,,
shareholder shareholders investor investor && takeover takeovers,shareholder-activism,-75,30,6,,,
hedge && fund funds && takeover takeovers,shareholder-activism,-75,30,6,,,
shareholder shareholders && revolt revolts revolting,shareholder-activism,-75,30,6,,,
shareholder shareholders && re more && purchased purchasing purchase && shares stake equity,shareholder-activism,-75,30,9,,,
shareholder shareholders && repurchased repurchase repurchasing repurchases && shares stake equity,shareholder-activism,-75,30,9,,,
shareholder shareholders && agitating && change,shareholder-activism,-75,20,9,,,
shareholder shareholders && acquiring acquires acquired acquisition bought buying && more extra additional && shares share stake,shareholder-activism,-75,30,7,,,
investor investors cofounder founder && acquiring acquires acquire acquired acquisition bought buying && more extra additional && shares,shareholder-activism,-75,30,7,,,
increase increasing increased more grow grew grows growing grew greater expand expanding expands && shareholder && value,shareholder-activism,-75,20,4,,,
acquiring acquires acquired acquisition bought buying && more extra additional && shares share,shareholder-activism,-75,20,7,,,
shareholder shareholders && resolution resolutions,shareholder-activism,-75,10,2,,,
increased increasing increase increases raised enlarge enlarged raising raise boost boosts boosted grow grew grows growing grew greater expand expanding expands && its his her their && shares equity,shareholder-activism,-75,15,7,,,
increased increasing increase increases raised raises raising raise enlarge enlarged boost boosts boosted grow grew grows growing grew greater expand expanding expands && shares stake equity && in,shareholder-activism,-75,3,3,,,
shareholder shareholders investors investor && seeks seeking && their oust own chose choosing chosen elect electing && chairman ceo directors director,shareholder-activism,-75,25,14,,,
shareholder shareholders shareholding investor investors cofounder founder && vote voting votes voted want wants wanted wanting && reappointment against more less different other no,shareholder-activism,-75,30,8,,,
activist activism activists && fund funds investor investors investing invests invest investment investments,shareholder-activism,-75,20,4,,,
activist activism activists && hedge && fund funds,shareholder-activism,-75,20,4,,,
investor investors cofounder founder && increased increasing increase increases raise raised raises raising enlarge enlarged boost boosts boosted grow grows grew greater growing expand expanding expands grew && its his her their && shares,shareholder-activism,-75,30,7,,,
shareholder shareholders && bidding bid bids,shareholder-activism,-75,20,4,,,
shareholders && public && bid,shareholder-activism,-75,20,12,,,
bill && ackman,shareholder-activism,-75,20,1,,,
has && bigger greater && interest stake && in,shareholder-activism,-75,15,5,,,
investor investors cofounder founder && increased increasing increase increases raised raise raises raising enlarge enlarged boost boosts boosted grow grows grew greater growing expand expanding expands grew && shares,shareholder-activism,-75,15,5,,,
investor investors cofounder founder && more increased increasing increase expand expanding expands direct exercise exercise seek seeking seeks exercises exercised exercising growing grow grows && influence control,shareholder-activism,-75,30,7,,,
shareholder shareholders && increased increasing increase increases raise raised raises raising enlarge enlarged boost boosts boosted grow grows grew greater growing expand expanded expanding expands grew && its his her their && shares stake equity,shareholder-activism,-75,30,10,,,
shareholder shareholders && increased increasing increase increases raised raise raises raising enlarge enlarged grow grows grew greater growing expand expanding expanded expands grew && shares stake equity investment investments,shareholder-activism,-75,30,10,,,
shareholder shareholders shareholding && more increased increasing increase expand expanding expands direct exercise exercised seek seeking seeks exercises exercised exercising growing grow grows && influence control,shareholder-activism,-75,20,7,,,
shareholder shareholders shareholding && angry anger criticised criticising criticise criticized criticizing criticize condemned condemn condemning dissident concerned concern concerns concerning worry worrying worried,shareholder-dissatisfaction,-50,20,4,,,
shareholder shareholders investors investor && overhaul && ceo director directors,shareholder-dissatisfaction,-50,10,7,,,
shareholder shareholders shareholding && pressuring pressured pressure push pushes pushed urging urged urges control controls controlled,shareholder-dissatisfaction,-50,5,7,,,
private && placement,public-offering-issues,-190,15,5,,,
shareholder shareholders && proposal propose proposals proposition propositions offer offers offering,shareholder-dissatisfaction,-50,10,5,,,
shareholder shareholders && rejects reject rejected,shareholder-dissatisfaction,-50,20,5,,,
shareholder shareholders && spoken speak speaks speaking && against,shareholder-dissatisfaction,-50,20,6,,,
dividends dividend && angry anger criticised criticising criticise criticized criticizing criticize condemned condemn condemning dissident,shareholder-dissatisfaction,-50,15,5,,,
shareholder shareholders && leveraging leveraged leverage,shareholder-dissatisfaction,-50,15,4,,,
shareholder shareholders && increased increasing increase increases raised raise raises raising enlarge enlarged boost boosts boosted grow grows grew greater growing expand expanding expands grew && shares stake equity investment investments interest,shareholder-dissatisfaction,-50,20,7,,,
lowers lowered && stake,shareholder-dissatisfaction,-50,12,5,,,
court issues judgment judge espionage bankruptcy verdict infringement infringements violates issue claims violation lawsuit lawsuits suit judge conspiracies intrigue civil litigation sued prosecution prosecutions prosecuted && intellectual && property properties,ip-problems,-100,40,8,,,
court issues judgment judge espionage bankruptcy verdict infringement infringements violates issue claims violation lawsuit lawsuits suit judge conspiracies intrigue civil litigation sued prosecution prosecutions prosecuted && proprietary && intellectual ip,ip-problems,-100,40,8,,,
court issues judgment judge espionage bankruptcy verdict infringement infringements violates issue claims violation lawsuit lawsuits suit judge conspiracies intrigue civil litigation sued prosecution prosecutions prosecuted && trade && secret secrets,ip-problems,-100,40,8,,,
federal court issues judgment judge espionage bankruptcy verdict infringement infringements violates issue claims violation lawsuit lawsuits suit judge conspiracies intrigue civil litigation sued prosecution prosecutions prosecuted && ip patent patents patented trademarks trademark copyright copyrights logo,ip-problems,-100,40,8,,,
illegal legal && action use && intellectual trade && property mark marks secret,ip-problems,-100,40,7,,,
illegal legal && action use && ip trademark trademarks copyright copyrights patent patents rebranding brand,ip-problems,-100,40,7,,,
industrial corporate company companies && espionage,ip-problems,-100,40,7,,,
infringement infringed infringe infringing && technology technologies software patent patents,ip-problems,-100,40,7,,,
legal && action && ip patent patents patented trademarks trademark copyright copyrights logo ownership,ip-problems,-100,40,8,,,
patents patent patented patenting patentee patentees copyright copyrights trademark trademarks && dispute disputes threat threats,ip-problems,-100,40,5,,,
settlement && intellectual && property properties,ip-problems,-80,40,7,,,
settlement && ip trademark trademarks copyright copyrights,ip-problems,-80,40,7,,,
stole steal stolen stealing && design files,ip-problems,-100,12,5,,,
theft stolen stole stealing steal steals thief && idea ideas technology technologies trademarks trademark invention inventions ip innovation innovations,ip-problems,-100,40,7,,,
theft stolen stole stealing steal steals thief && intellectual ip trade && property properties right rights secret secrets,ip-problems,-100,40,7,,,
theft stolen stole stealing steal steals thief && ip,ip-problems,-100,40,4,,,
theft stolen stole stealing steal steals thief && property proprietary && technology technologies,ip-problems,-100,40,7,,,
trade && secrets secret && litigation problem problems issue issues dispute disputes,ip-problems,-100,40,7,,,
trademark && refusal refused refuse,ip-problems,-100,40,7,,,
war wars fight fights fighting && ownership owns && ideas technology technologies idea trademarks trademark licensing licenses licensed idea invention inventions ip innovation innovations,ip-problems,-100,40,7,,,
war wars fight fights fighting && trademark trademarks copyright copyrights ownership patent patents ip logo tech technology technologies,ip-problems,-100,40,4,,,
brexit,brexit,-60,25,6,,,
brexiteer brexiteers,brexit,-40,25,6,,,
theresa && may,brexit,-70,10,2,,,
boris && johnson,brexit,-70,10,2,,,
ukip,brexit,-60,25,6,,,
uk && independence,brexit,-60,25,2,,,
independence && party,brexit,-60,25,2,,,
dominic && raab,brexit,-60,25,2,,,
hard bad && brexit,brexit,-70,25,5,,,
soft && brexit,brexit,-60,25,5,,,
move moving stop stopping cut cutting slash slashing cease ceasing end ending close closing halt halting freeze freezing terminate terminating reduce reducing discontinue discontinuing shut shutting abort aborting cancel canceling discharge discharging && operations activities office offices factory factories site sites business businesses store stores lab labs laboratory laboratories warehouse warehouses foundry foundries firm firms refinery refineries mill mills shop shops plant plants department departments facility facilities && brexit,brexit,-100,15,14,,,
leave leaving quit && uk london,brexit,-100,15,5,,,
no && deal && brexit,brexit,-70,25,2,,,
transfer move relocate && staff personnel workers officers assistants agents crew team teams department departments && brexit,brexit,-100,15,14,,,
expats expatriates expat expatriate && move moving leave leaving relocate relocating && uk london,brexit,-60,15,14,,,
disrupt disrupting interrupt interrupting obstruct obstructing && supply && brexit,brexit,-70,15,14,,,
stockpile stockpiling && goods food oil medicine medicines && brexit,brexit,-60,15,14,,,
pulling pulls && out && uk london,brexit,-100,15,14,,,
strike strikes && brexit,brexit,-70,25,8,,,
article && 50,brexit,-70,25,2,,,
cut cutting && off && supply && brexit,brexit,-100,15,14,,,
unpaid && tax taxes,financial-offenses-tax-evasion,-190,25,8,,,
unpaid && tax taxes,financial-offenses-tax-avoidance,-190,25,8,,,
tax taxes taxation && fraud fraudulent frauds theft investigated investigation investigations scam scams embezzlement embezzlements,financial-offenses-tax-evasion,-150,20,5,,,
tax taxes && evade evades evading evaded elude eludes eluding eluded evasion evaded scandal scandals,financial-offenses-tax-evasion,-150,20,5,,,
paid pays && no not && taxes tax,financial-offenses-tax-evasion,-75,30,5,,,
settled && with && tax && authorities,financial-offenses-tax-evasion,-100,20,6,,,
tax taxation && authorities authority && pursuing pursued demand demands,financial-offenses-tax-evasion,-150,30,5,,,
tax taxation && authorities authority && examination examined examines investigating investigated investigates,financial-offenses-tax-evasion,-150,30,8,,,
avoid avoiding avoided avoidance && taxation tax taxes,financial-offenses-tax-evasion,-150,20,7,,,
dodgy && tax && practices,financial-offenses-tax-avoidance,-150,20,4,,,
tax vat && avoiders dodgers,financial-offenses-tax-avoidance,-150,20,5,,,
avoid avoiding avoided && billion billions && taxation tax taxes,financial-offenses-tax-avoidance,-150,20,6,,,
tax taxation && advantages advantage && cutted cut cuts,financial-offenses-tax-evasion,-150,20,6,,,
turnaround && process,liability-problems,-110,25,4,,,
wipe && out && tax liability,financial-offenses-tax-evasion,-150,20,6,,,
paying pays paid && low && taxes tax,financial-offenses-tax-evasion,-150,20,6,,,
dodge dodged dodging && taxes tax taxation,financial-offenses-tax-avoidance,-150,30,6,,,
dodge dodged dodging && vat,financial-offenses-tax-avoidance,-150,30,2,,,
tax && haven havens,financial-offenses-tax-avoidance,-150,10,2,,,
belastingdienst,financial-offenses-tax-evasion,-150,30,5,,,
belasting && ontwijking ontwijkt,financial-offenses-tax-avoidance,-150,30,5,,,
belastingontwijking belastingontwijkingsconstructies,financial-offenses-tax-avoidance,-120,30,5,,,
belastingparadijs brievenbusbedrijven,financial-offenses-tax-avoidance,-150,25,5,,,
geen niet && belasting btw belastingen && betalen betaald betaalt,financial-offenses-tax-evasion,-50,25,5,,,
fiscaal && binnen && de && wet,financial-offenses-tax-evasion,-50,25,5,,,
belastingafspraken belastingafspraak,financial-offenses-tax-evasion,-150,25,5,,,
deceptions deceptive deceptively && tax,financial-offenses-tax-evasion,-150,25,5,,,
failed fails failure failing failed non not neglect neglects neglecting neglected refuse refuses refusing refusal && remit remits remitting remitted remittance && tax taxes,financial-offenses-tax-evasion,-150,25,6,,,
tax taxation && lawsuits lawsuits,financial-offenses-tax-evasion,-120,25,6,,,
tax && sham,financial-offenses-tax-evasion,-70,25,6,,,
taxpayer && arrangement arrangements,financial-offenses-tax-evasion,-50,25,2,,,
ccaa,rescue-from-bankruptcy,-50,25,4,,,
canada && companies && arrangement && act,rescue-from-bankruptcy,-50,25,4,,,
tax && avoidance,financial-offenses-tax-avoidance,-150,30,1,,,
shadow && economy,financial-offenses-tax-evasion,-80,25,3,,,
hidden && taxes taxation,financial-offenses-tax-evasion,-120,25,3,,,
underpayment && taxes,financial-offenses-tax-evasion,-160,25,3,,,
delists delisting delisted delist,delisting,-100,15,3,,,
going && private,delisting,-40,15,2,,,
no && longer && listed && stock exchange nyse nasdaq hkex sse euronext szse lse tsx nse tadawul krx fsx omx six tswe asx bovespa jse tse moex sgx idx myx bmv ifb bist pse tase adx hose bvs gpw qe tpex xkuw bvc bvl bc dse luxse cse kase bcba bvb bhb zse cse ase bse msm bvpa jse hnx sem,delisting,-100,12,3,,,
removed removal && from && exchange stock nyse nasdaq hkex sse euronext szse lse tsx nse tadawul krx fsx omx six tswe asx bovespa jse tse moex sgx idx myx bmv ifb bist pse tase adx hose bvs gpw qe tpex xkuw bvc bvl bc dse luxse cse kase bcba bvb bhb zse cse ase bse msm bvpa jse hnx sem,delisting,-100,12,3,,,
de && list listed lists listing,delisting,-100,12,0,,,
pension retirement retired retiring retires postretirment 401 403 && exec execs executive executives head management manager managers managing md ceo ceos ceo ceoss coo cio cto cfo evp president board boardmembers chief chef honcho chair chairman chairwoman chairperson director directors leader leaders leadership boss bosses gm leadership founders founder,c-level-changes-retirement,-60,20,6,,,
db && plan && exec execs executive executives head management manager managers managing md ceo ceos ceo ceoss coo cio cto cfo evp president board boardmembers chief chef honcho chair chairman chairwoman chairperson director directors leader leaders leadership boss bosses gm leadership founders founder,c-level-changes-retirement,-60,20,6,,,
defined qualified && contribution benefit && exec execs executive executives head management manager managers managing md ceo ceos ceo ceoss coo cio cto cfo evp president board boardmembers chief chef honcho chair chairman chairwoman chairperson director directors leader leaders leadership boss bosses gm leadership founders founder,c-level-changes-retirement,-60,20,6,,,
pension retirement retired retiring retires postretirment 401 403 && exec execs executive executives head management manager managers managing md ceo ceos ceo ceoss coo cio cto cfo evp president board boardmembers chief chef honcho chair chairman chairwoman chairperson director directors leader leaders leadership boss bosses gm leadership founders founder && income compensation compensated compensating incomes salary salaries benefit benefits,c-level-changes-retirement,-60,20,6,,,
terror terrorist terrorism narcoterrorism bioterrorism cyberterrorism ecoterrorism terrorists,acts-of-violence geopolitical,-110,25,6,,,
terror && group groups attack attacks organisation organization organisations organizations strike,acts-of-violence geopolitical,-100,25,6,,,
missile missiles && launched launch cruise attack attacks violence aggression war military plane planes soldier soldiers wars casualties dead death destruction hurt wounded,acts-of-violence geopolitical,-100,25,6,,,
taliban,acts-of-violence geopolitical,-30,25,6,,,
irish && republican && army,acts-of-violence,-100,25,6,,,
naxal naxalites,acts-of-violence,-100,25,6,,,
boko && haram,acts-of-violence,-100,25,6,,,
farc,acts-of-violence,-10,25,6,,,
hezbollah hezbollah hizbullah hizballah,acts-of-violence,-100,25,6,,,
islamic && state,acts-of-violence,-100,25,6,,,
isis isle && attack war conflict insurgents military wars soldier raid victim wounded dead death aggression,acts-of-violence geopolitical,-100,25,6,,,
al && qaeda,acts-of-violence,-80,25,6,,,
bin && laden,acts-of-violence,-10,25,6,,,
massacre massacred massacres carnage,acts-of-violence,-50,25,6,,,
violent violently military && clash clashes clashed,acts-of-violence geopolitical,-50,25,6,,,
bloodshed && attack violence violent soldier war insurgents racial tension,acts-of-violence geopolitical,-100,25,6,,,
genocide,acts-of-violence geopolitical,-130,25,6,,,
murder murders murdered murdering,acts-of-violence,-80,25,6,,,
mass && murder murders killing killings destruction,acts-of-violence,-130,25,6,,,
airstrike airstrikes,acts-of-violence,-60,25,6,,,
air && raid raids,acts-of-violence,-60,25,6,,,
coup overthrow overthrows overthrown && state government regime nation federation,acts-of-violence political-instability geopolitical,-130,25,6,,acts-of-violence political-instability geopolitical,
warfare war wars && military violence attacks violent bloodshed soldier soldiers missile missiles carnage casualties deaths fatalities violent,acts-of-violence geopolitical,-100,25,6,,acts-of-violence geopolitical,
suicide && bomber attack attacks,acts-of-violence,-100,25,6,,acts-of-violence,
rape rapes raped raping,acts-of-violence,-130,25,6,,bankruptcy,
bombs bomb bomber bombed bombing bombings bombers bombardment bombardments bombarding bombarded && attack violence aggression war military plane planes soldier soldiers wars casualties dead death destruction hurt wounded conflict,acts-of-violence political-instability geopolitical,-100,25,20,,c-level-changes,
attacked attack attacks,acts-of-violence,-120,15,2,,downsizing,
conflict,acts-of-violence,-75,4,4,,environmental-impact,
poisoned poisoning,acts-of-violence,-100,15,6,,environmental-impact geopolitical,
out && of && business money,bankruptcy,-200,25,2,,financial-issues,
